10
1;Ucejeqieagi
2;Mauc
3;Qobieutilage
4;Uauvecixa
5;Wesougawifo
6;Ducefena
7;Wum
8;Xaram
9;Mevisof
10;Oxotoyufeqi
0,00;89,63;0,00;0,00;79,47;44,74;68,52;37,53;0,00;90,88
89,63;0,00;34,19;0,00;0,00;58,96;68,34;36,83;0,00;31,61
0,00;34,19;0,00;10,63;0,00;0,00;76,69;32,39;83,59;0,00
0,00;0,00;10,63;0,00;100,63;0,00;46,33;0,00;88,02;60,14
79,47;0,00;0,00;100,63;0,00;57,14;44,11;74,20;98,35;0,00
44,74;58,96;0,00;0,00;57,14;0,00;75,32;80,14;85,18;0,00
68,52;68,34;76,69;46,33;44,11;75,32;0,00;51,21;35,72;0,00
37,53;36,83;32,39;0,00;74,20;80,14;51,21;0,00;43,41;76,88
0,00;0,00;83,59;88,02;98,35;85,18;35,72;43,41;0,00;16,25
90,88;31,61;0,00;60,14;0,00;0,00;0,00;76,88;16,25;0,00
